Sequela Name,Health State Name,Health State Lay Description,Mean,Lower,Upper
Early HIV with mild anemia,"Anemia, mild; Generic uncomplicated disease anxiety",,0.016083331,0.007595395,0.030998713
Early HIV with moderate anemia,"Anemia, moderate; Generic uncomplicated disease anxiety",,0.063305862,0.039980345,0.094802634
Early HIV with severe anemia,"Anemia, severe; Generic uncomplicated disease anxiety",,0.159325145,0.108503954,0.220449283
Symptomatic HIV with mild anemia,"HIV cases, symptomatic, pre-AIDS and anemia, mild",(combined DW),0.277181218,0.188503301,0.379147549
Symptomatic HIV with moderate anemia,"HIV cases, symptomatic, pre-AIDS and anemia, moderate",(combined DW),0.311585319,0.216656289,0.418034024
Symptomatic HIV with severe anemia,"HIV cases, symptomatic, pre-AIDS and anemia, severe",(combined DW),0.381147624,0.268579906,0.504582025
AIDS with mild anemia,"AIDS cases, not receiving ARV treatment and anemia, mild",(combined DW),0.583216267,0.409174738,0.74297647
AIDS with moderate anemia,"AIDS cases, not receiving ARV treatment and anemia, moderate",(combined DW),0.60291261,0.43024704,0.758312736
AIDS with severe anemia,"AIDS cases, not receiving ARV treatment and anemia, severe",(combined DW),0.64201905,0.470049634,0.792160094
HIV/AIDS with antiretroviral treatment without anemia,"HIV/AIDS cases, receiving ARV treatment",has occasional fevers and infections. The person takes daily medication that sometimes causes diarrhea.,0.078017329,0.05212429,0.111066657
HIV/AIDS with antiretroviral treatment with mild anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, mild",(combined DW),0.081413316,0.054154643,0.115741057
HIV/AIDS with antiretroviral treatment with moderate anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, moderate",(combined DW),0.125392636,0.084764614,0.176414503
HIV/AIDS with antiretroviral treatment with severe anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, severe",(combined DW),0.214818633,0.148111057,0.29504815
Asymptomatic congenital syphilis ,Asymptomatic,,0,0,0
"Early symptomatic congenital syphilis, infectious syndrome","Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
"Late symptomatic congenital syphilis, neurosyphilis","Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.202946014,0.13394816,0.28958335
"Early symptomatic congenital syphilis, slight disfigurement","Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011016252,0.005239763,0.020619542
"Late symptomatic congenital syphilis, slight disfigurement","Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011016252,0.005239763,0.020619542
"Late symptomatic congenital syphilis, unilateral hearing loss","Hearing loss, unilateral","can hear well with one ear but has hearing loss in the other ear, resulting in some trouble following a conversation in a noisy environment",0.007986165,0.00359251,0.015490783
Asymptomatic early syphilis infection,Asymptomatic,,0,0,0
Mild early syphilis infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Asymptomatic adult tertiary syphilis,Asymptomatic,,0,0,0
Cardiovascular complications due to adult tertiary syphilis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Severe disfigurement due to adult tertiary syphilis,"Disfigurement, level 3","has an obvious physical deformity that makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.404790537,0.274506378,0.545533435
Neurological problems due to adult tertiary syphilis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.202946014,0.13394816,0.28958335
Neurological problems and cardiovascular complications due to adult tertiary syphilis,"Moderate motor plus cognitive impairments and moderate infectious disease, acute episode",(combined DW),0.24302715,0.168002831,0.333106218
Severe disfigurement and cardiovascular complications due to adult tertiary syphilis,"Level 3 disfigurement and moderate infectious disease, acute episode",(combined DW),0.434622572,0.305652485,0.571316966
Severe disfigurement and neurological problems due to adult tertiary syphilis,Level 3 disfigurement and moderate motor plus cognitive impairments,(combined DW),0.523209749,0.378418767,0.669377133
"Severe disfigurement, neurological problems, and cardiovascular complications due to adult tertiary syphilis","Level 3 disfigurement, moderate motor plus cognitive impairments, and moderate infectious disease, acute episode",(combined DW),0.546965949,0.402057488,0.690747392
Asymptomatic chlamydial infection,Asymptomatic,,0,0,0
Mild chlamydial infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Epididymo-orchitis due to chlamydial infection,Epididymo-orchitis,has swelling and tenderness in the testicles and pain during urination. ,0.128124533,0.086099005,0.18045062
Primary infertility due to chlamydial infection,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.007564045,0.003335558,0.015242128
Secondary infertility due to chlamydial infection,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005145153,0.002002058,0.011025222
Moderate pelvic inflammatory diseases due to chlamydial infection,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114339967,0.077947085,0.158676813
Severe pelvic inflammatory diseases due to chlamydial infection,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324246551,0.219721318,0.44180474
Asymptomatic gonococcal infection,Asymptomatic,,0,0,0
Mild gonococcal infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Epididymo-orchitis due to gonococcal infection,Epididymo-orchitis,has swelling and tenderness in the testicles and pain during urination. ,0.128124533,0.086099005,0.18045062
Primary infertility due to gonococcal infection,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.007564045,0.003335558,0.015242128
Secondary infertility due to gonococcal infection,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005145153,0.002002058,0.011025222
Moderate pelvic inflammatory diseases due to gonococcal infection,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114339967,0.077947085,0.158676813
Severe pelvic inflammatory diseases due to gonococcal infection,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324246551,0.219721318,0.44180474
Asymptomatic trichomoniasis infection,Asymptomatic,,0,0,0
Acute trichomoniasis infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Asymptomatic herpes simplex virus-2 infection,Asymptomatic,,0,0,0
Recurrent symptomatic episode of genital herpes,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Initial symptomatic episode of genital herpes,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Primary infertility due to other sexually transmitted diseases,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.007564045,0.003335558,0.015242128
Secondary infertility due to other sexually transmitted diseases,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005145153,0.002002058,0.011025222
Moderate pelvic inflammatory diseases due to other sexually transmitted diseases,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114339967,0.077947085,0.158676813
Severe pelvic inflammatory diseases due to other sexually transmitted diseases,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324246551,0.219721318,0.44180474
Other sexually transmitted diseases residual,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",,,,
Latent tuberculosis infection,Asymptomatic,,0,0,0
Drug-susceptible tuberculosis,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.332620658,0.223629598,0.453926995
Multidrug-resistant tuberculosis without extensive drug resistance ,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.332620658,0.223629598,0.453926995
Extensively drug-resistant tuberculosis,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.332620658,0.223629598,0.453926995
Guillain-Barré syndrome due to lower respiratory infections,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.296164847,0.19813263,0.41379709
Moderate lower respiratory infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Severe lower respiratory infections,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Guillain-Barré syndrome due to upper respiratory infections,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.296164847,0.19813263,0.41379709
Mild upper respiratory infections,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Moderate upper respiratory infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Acute otitis media,Ear pain,has an ear-ache that causes some difficulty with daily activities.,0.013319973,0.006878043,0.02364442
Severe infectious complications due to chronic otitis media,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Mild hearing loss due to chronic otitis media,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.009557887,0.00419248,0.0188052
Moderate hearing loss due to chronic otitis media,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.026575171,0.015295118,0.042228913
Mild hearing loss with ringing due to chronic otitis media,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021431429,0.011755785,0.036158027
Moderate hearing loss with ringing due to chronic otitis media,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.073963036,0.048560812,0.106579533
Vertigo with mild hearing loss due to chronic otitis media,Vertigo with mild hearing loss,,0.121816065,0.079220649,0.170252452
Vertigo with moderate hearing loss due to chronic otitis media,Vertigo with moderate hearing loss,,0.136839321,0.089131899,0.188712897
Vertigo with mild hearing loss and ringing due to chronic otitis media,Vertigo with mild hearing loss and ringing,,0.132301573,0.086466799,0.183729882
Vertigo with moderate hearing loss and ringing due to chronic otitis media,Vertigo with moderate hearing loss and ringing,,0.17866646,0.12034716,0.246893852
Guillain-Barré syndrome due to diarrheal diseases,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.296164847,0.19813263,0.41379709
Mild diarrheal diseases,"Diarrhea, mild",has diarrhea three or more times a day with occasional discomfort in the belly.,0.073536964,0.0487335,0.104392015
Moderate diarrheal diseases,"Diarrhea, moderate","has diarrhea three or more times a day, with painful cramps in the belly and feeling thirsty",0.187874199,0.12484303,0.26416233
Severe diarrheal diseases,"Diarrhea, severe",has diarrhea three or more times a day with severe belly cramps. The person is very thirsty and feels nauseous and tired. ,0.247095773,0.164043595,0.347775068
Gastrointestinal bleeding due to typhoid,Gastric bleeding,vomits blood and feels nauseous.,0.324803941,0.209245325,0.462166763
Intestinal perforation due to typhoid,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324246551,0.219721318,0.44180474
Acute typhoid infection,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Severe typhoid fever,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Intestinal perforation due to paratyphoid,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114339967,0.077947085,0.158676813
Acute paratyphoid infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Moderate paratyphoid fever,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Severe paratyphoid fever,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Severe acute iNTS,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Other intestinal infectious diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",,,,
Mild malaria,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Mild malaria with mild anemia,"Infectious disease, acute episode, mild, with mild anemia",(combined DW),0.009456459,0.003737965,0.019990375
Mild malaria with moderate anemia,"Infectious disease, acute episode, mild, with moderate anemia",(combined DW),0.057010904,0.036645644,0.085295881
Mild malaria with severe anemia,"Infectious disease, acute episode, mild, with severe anemia",(combined DW),0.153682707,0.105000976,0.21399375
Moderate malaria,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Moderate malaria with mild anemia,"Infectious disease, acute episode, moderate, with mild anemia",(combined DW),0.054091277,0.033975601,0.079322085
Moderate malaria with moderate anemia,"Infectious disease, acute episode, moderate, with moderate anemia",(combined DW),0.099421231,0.064835668,0.142050881
Moderate malaria with severe anemia,"Infectious disease, acute episode, moderate, with severe anemia",(combined DW),0.191620198,0.132884256,0.262601199
Severe malaria,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Severe malaria with mild anemia,"Infectious disease, acute episode, severe, with mild anemia",(combined DW),0.13660873,0.091457382,0.19248815
Severe malaria with moderate anemia,"Infectious disease, acute episode, severe, with moderate anemia",(combined DW),0.177867947,0.12183737,0.247376207
Severe malaria with severe anemia,"Infectious disease, acute episode, severe, with severe anemia",(combined DW),0.261675381,0.183516716,0.359049475
Asymptomatic malaria parasitemia (PfPR),Asymptomatic,,0,0,0
Mild anemia due to malaria parasitemia (PfPR),"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.003696398,0.001312473,0.008138783
Moderate anemia due to malaria parasitemia (PfPR),"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.051541962,0.033847375,0.075721813
Severe anemia due to malaria parasitemia (PfPR),"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.148766153,0.10073294,0.209115202
Asymptomatic malaria vivax (PvPR),Asymptomatic,,0,0,0
Mild anemia due to malaria vivax (PvPR),"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.003696398,0.001312473,0.008138783
Moderate anemia due to malaria vivax (PvPR),"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.051541962,0.033847375,0.075721813
Severe anemia due to malaria vivax (PvPR),"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.148766153,0.10073294,0.209115202
Moderate motor impairment due to malaria,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.060833859,0.039587362,0.08908513
Moderate motor impairment with blindness due to malaria,Moderate motor impairment with blindness,(combined DW),0.236485315,0.164771313,0.323075961
Moderate motor impairment with epilepsy due to malaria,Moderate motor impairment with epilepsy,(combined DW),,,
Moderate motor impairment with blindness and epilepsy due to malaria,Moderate motor impairment with blindness and epilepsy,(combined DW),,,
Moderate motor impairment with blindness and epilepsy due to malaria,Moderate motor impairment with blindness and epilepsy,(combined DW),,,
Severe motor impairment due to malaria,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.401610538,0.268270568,0.545332718
Severe motor impairment with blindness due to malaria ,Severe motor impairment with blindness,(combined DW),0.51154797,0.365139031,0.657763401
Severe motor impairment with epilepsy due to malaria,Severe motor impairment with epilepsy,(combined DW),,,
Moderate motor plus cognitive impairment with blindness due to malaria,Moderate motor plus cognitive impairment with blindness,(combined DW),0.351038029,0.245212131,0.467390389
Moderate motor plus cognitive impairment with blindness due to malaria,Moderate motor plus cognitive impairment with blindness,(combined DW),0.351038029,0.245212131,0.467390389
Moderate motor plus cognitive impairment with epilepsy due to malaria,Moderate motor plus cognitive impairment with epilepsy,(combined DW),,,
Moderate motor plus cognitive impairment with epilepsy due to malaria,Moderate motor plus cognitive impairment with epilepsy,(combined DW),,,
Moderate motor plus cognitive impairment with blindness and epilepsy due to malaria,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Moderate motor plus cognitive impairment with blindness and epilepsy due to malaria,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Moderate motor plus cognitive impairment with blindness and epilepsy due to malaria,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Severe motor impairment with blindness and epilepsy due to malaria,Severe motor impairment with blindness and epilepsy,(combined DW),,,
Severe motor impairment with blindness and epilepsy due to malaria,Severe motor impairment with blindness and epilepsy,(combined DW),,,
Severe motor plus cognitive impairment with blindness due to malaria,Severe motor plus cognitive impairment with blindness,(combined DW),0.625077679,0.454496029,0.777771998
Severe motor plus cognitive impairment with blindness due to malaria,Severe motor plus cognitive impairment with blindness,(combined DW),0.625077679,0.454496029,0.777771998
Severe motor plus cognitive impairment with epilepsy due to malaria,Severe motor plus cognitive impairment with epilepsy,(combined DW),,,
Severe motor plus cognitive impairment with epilepsy due to malaria,Severe motor plus cognitive impairment with epilepsy,(combined DW),,,
Severe motor plus cognitive impairment with blindness and epilepsy due to malaria,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Severe motor plus cognitive impairment with blindness and epilepsy due to malaria,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Severe motor plus cognitive impairment with blindness and epilepsy due to malaria,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Acute Chagas disease,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Asymptomatic Chagas disease,Asymptomatic,,0,0,0
Atrial fibrillation and flutter due to Chagas disease,Cardiac conduction disorders and cardiac dysrhythmias,has periods of rapid and irregular heartbeats and occasional fainting. ,0.224156355,0.150973523,0.312090852
Mild heart failure due to Chagas disease,"Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041451894,0.026103223,0.062339545
Moderate heart failure due to Chagas disease,"Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.071653433,0.046600778,0.10308943
Severe heart failure due to Chagas disease,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.179066696,0.1215548,0.250729157
Mild chronic digestive disease due to Chagas disease,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.01100925,0.00537732,0.020820188
Moderate chronic digestive disease due to Chagas disease,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114339967,0.077947085,0.158676813
"Controlled, medically managed heart failure due to Chagas disease",Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342,0.072092547
Moderate visceral leishmaniasis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Severe visceral leishmaniasis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Cutaneous and mucocutaneous leishmaniasis,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.066991754,0.04441772,0.095900522
Skin disfigurement due to Trypanosoma brucei gambiense,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.026517504,0.015009938,0.042397048
Sleeping sickness due to Trypanosoma brucei gambiense,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.541667771,0.374038277,0.702242795
Sleeping sickness due to Trypanosoma brucei rhodesiense,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.541667771,0.374038277,0.702242795
Skin disfigurement due to Trypanosoma brucei rhodesiense,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.026517504,0.015009938,0.042397048
Mild schistosomiasis without anemia,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Mild anemia due to schistosomiasis,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.003696398,0.001312473,0.008138783
Moderate anemia due to schistosomiasis,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.051541962,0.033847375,0.075721813
Severe anemia due to schistosomiasis,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.148766153,0.10073294,0.209115202
Mild diarrhea due to schistosomiasis,"Diarrhea, mild",has diarrhea three or more times a day with occasional discomfort in the belly.,0.073536964,0.0487335,0.104392015
Hematemesis due to schistosomiasis,Gastric bleeding,vomits blood and feels nauseous.,0.324803941,0.209245325,0.462166763
Hepatomegaly due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.01100925,0.00537732,0.020820188
Dysuria due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.01100925,0.00537732,0.020820188
Bladder pathology due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.01100925,0.00537732,0.020820188
Hydronephrosis due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.01100925,0.00537732,0.020820188
Ascites due to schistosomiasis,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114339967,0.077947085,0.158676813
Neurocysticercosis with epilepsy,Epilepsy,(combined DW),,,
Chronic respiratory disease due to cystic echinococcosis,"COPD and other chronic respiratory problems, mild","has cough and shortness of breath after heavy physical activity, but is able to walk long distances and climb stairs.",0.019316721,0.010635393,0.03272288
Abdominal problems due to cystic echinococcosis,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114339967,0.077947085,0.158676813
Epilepsy due to echinococcosis,Epilepsy,(combined DW),,,
Prevalence of detectable microfiliaria due to lymphatic filariasis,Asymptomatic,,0,0,0
Acute adenolymphangitis due to lymphatic filariasis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Hydrocele due to lymphatic filariasis,Epididymo-orchitis,has swelling and tenderness in the testicles and pain during urination. ,0.128124533,0.086099005,0.18045062
Lymphedema due to lymphatic filariasis,"Lymphatic filariasis, symptomatic","has swollen legs with hard and thick skin, which causes difficulty in moving around.",0.108583133,0.073114282,0.153728012
Asymptomatic onchocerciasis,Asymptomatic,,0,0,0
Mild skin disease without itch due to onchocerciasis,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011016252,0.005239763,0.020619542
Severe skin disease without itch due to onchocerciasis,"Disfigurement, level 3","has an obvious physical deformity that makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.404790537,0.274506378,0.545533435
Mild skin disease due to onchocerciasis,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.026517504,0.015009938,0.042397048
